회사 이름,기업 형태,산업(업종),평균 연봉
레드캡투어,"코스닥,중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",서비스업                                (여행사)                            ,"5,047"
선진엔지니어링종합건축사사무소,"중견기업,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"5,946"
(주)차케어스,"외부감사법인,연구소,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,323"
(학)계명대학교동산의료원,"기타,병원/의료기관,비영리법인",건설업                                (빌딩)                            ,"3,448"
교보리얼코,"대기업,주식회사,법인사업체",건설업                                (부동산중개)                            ,"4,277"
디케이,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,930"
미래나노텍,"코스닥,중견기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체", ,"4,860"
재원산업,"중견기업,외부감사법인,법인사업체",제조·화학                                (정유)                            ,"5,112"
코오롱글로벌,"코스피,대기업, 1000대기업,주식회사,법인사업체",건설업                                (토목회사)                            ,"7,001"
케이티에스테이트,"대기업,주식회사,법인사업체",건설업                                (부동산개발)                            ,"6,960"
프라다코리아(유),"중견기업,외국인 투자기업,외부감사법인,법인사업체",판매/유통업                                                            ,"4,312"
CJ씨푸드,"코스피,대기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"4,324"
씨앤토트플러스(주),"중소기업,주식회사,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,024"
서진,"중소기업,주식회사,법인사업체",제조·화학                                (자동차부품)                            ,"3,565"
크라운제과,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제과제빵)                            ,"4,515"
파트론,"코스닥,중견기업,외부감사법인,연구소,주식회사,법인사업체",제조·화학                                (전자)                            ,"4,855"
농업협동조합중앙회,"기타,협동조합,비영리법인",은행·금융업                                (신용협동조합)                            ,"6,847"
(주)대경이앤에스,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,442"
동해종합기술공사,"중소기업,법인사업체",건설업                                (환경)                            ,"5,300"
에스티유니타스,"중견기업,외부감사법인,주식회사,병역특례 인증업체,법인사업체",교육업                                (교육기관)                            ,"4,392"
영우,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"5,055"
오파스넷,"코스닥,중소기업,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"4,902"
마이크로필터,"중소기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,973"
시스게이트,"외부감사법인,주식회사,법인사업체",IT·웹·통신                                (솔루션업체)                            ,"3,395"
인터로조,"코스닥,중소기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (정밀광학)                            ,"4,334"
진성이엔지,"중소기업,외부감사법인,주식회사,법인사업체",건설업                                (시설)                            ,"5,178"
(주)하나,"중소기업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"5,257"
세인관세법인,"중소기업,유한회사,법인사업체",판매·유통                                (운송·운수)                            ,"3,652"
(주)신진정밀,"중소기업,외부감사법인,법인사업체",제조·화학                                (자동차부품)                            ,"4,088"
윈팩,"코스닥,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체", ,"4,666"
에이치에스지성동조선,"대기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (조선)                            ,"5,763"
대덕,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",은행·금융업                                (금융기관)                            ,"6,846"
성우,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"5,909"
에스아이티,"대기업,외부감사법인,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"6,331"
천재교육,"중견기업, 1000대기업,외부감사법인,법인사업체",미디어·디자인                                (출판사)                            ,"4,690"
파워로직스,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기설계)                            ,"4,754"
피플웍스,"외부감사법인,병역특례 인증업체,법인사업체",제조·화학                                (전자)                            ,"5,234"
에스디바이오센서,"코스피,중소기업,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (정밀광학)                            ,"5,166"
에이치디씨아이서비스,"대기업,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"3,420"
강남,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (조선)                            ,"5,505"
다비치안경체인,"중소기업,법인사업체",판매·유통                                (판매)                            ,"3,667"
광명산업,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,753"
아주대학교,"기타,학교/교육기관,비영리법인",교육업                                (대학교)                            ,"3,170"
(주)메쉬코리아,"중소기업, 스타트업,외부감사법인,주식회사,병역특례 인증업체,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"4,715"
쌍방울,"코스피,주식회사,법인사업체",제조·화학                                (이너웨어)                            ,"2,796"
(주)알펜시아,"중견기업,주식회사,법인사업체",서비스업                                (스포츠)                            ,"3,653"
(주)에이치케이,"중소기업,주식회사,법인사업체",제조·화학                                (가전제품)                            ,"3,897"
(주)이노닉스,"중소기업,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (전자)                            ,"3,276"
(주)태진,"중소기업,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,696"
(주)풍산시스템,"중소기업,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,971"
삼영전자공업,"코스피,중견기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,626"
오뚜기,"코스피,외부감사법인,수출입 기업,법인사업체",제조·화학                                (식품가공)                            ,"4,314"
테스트테크,"중소기업,병역특례 인증업체,법인사업체",제조·화학                                (정밀광학)                            ,"4,263"
로지션,"중소기업,주식회사,법인사업체",기관·협회                                (경영연구소)                            ,"3,797"
모다이노칩,"코스닥,중견기업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",판매·유통                                (의류매장)                            ,"3,561"
대아티아이,"코스닥,외부감사법인,법인사업체",제조·화학                                (전기)                            ,"5,566"
보령제약,"코스피,중견기업,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,317"
오토플러스(주),"중견기업,법인사업체",판매·유통                                (자동차매장)                            ,"3,863"
신영와코루,"코스피,중견기업, 1000대기업,외국인 투자기업,수출입 기업,법인사업체",제조·화학                                (이너웨어)                            ,"4,313"
자이에스앤디,"코스피,외부감사법인,법인사업체",건설업                                (부동산개발)                            ,"2,772"
하나손해보험(주),"대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (손해사정)                            ,"5,745"
에스피에스,"중소기업,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (전기)                            ,"4,217"
(주)타이드스퀘어,"중소기업,법인사업체",서비스업                                (여행사)                            ,"4,070"
한섬,"코스피,대기업, 1000대기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (여성의류)                            ,"6,641"
(주)씨스코,"중소기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"6,218"
(주)제이엠테크,"중소기업,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조/화학업                                                            ,"4,386"
금문산업,"외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (금속)                            ,"4,403"
매일유업,"코스닥,중견기업,법인사업체",제조·화학                                (식품가공)                            ,"6,585"
삼화제지,"중소기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (제지)                            ,"5,909"
파란손해사정(주),"중소기업,사단법인,법인사업체",은행·금융업                                (손해사정)                            ,"3,282"
경호엔지니어링종합건축사사무소,"외부감사법인,주식회사,법인사업체",건설업                                (토목회사)                            ,"5,877"
싸이버원,"코스닥,중소기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,068"
씨앤에스자산관리,"중견기업,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"2,107"
(주)차이커뮤니케이션,"중소기업,주식회사,외부감사법인,법인사업체",미디어·디자인                                (광고대행사)                            ,"4,135"
파고다아카데미,"중소기업,외부감사법인,법인사업체", ,"3,877"
홍익기술단,"중소기업,주식회사,법인사업체",건설업                                (토목회사)                            ,"5,130"
대명지이씨,"중견기업,주식회사,법인사업체",건설업                                (전기설비)                            ,"5,800"
대한조선,"대기업, 1000대기업,수출입 기업,법인사업체",제조·화학                                (조선)                            ,"6,354"
케이티알파,"코스닥,대기업, 1000대기업,외부감사법인,주식회사,법인사업체",판매·유통                                (판매)                            ,"6,560"
씨엔알리서치,"중소기업,법인사업체",기관·협회                                (연구소)                            ,"4,979"
(주)아이파트너즈,"중소기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,203"
이노테크,"중소기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,516"
케이씨이앤씨,"중견기업,주식회사,법인사업체",건설업                                (시설)                            ,"5,925"
경남제약,"코스닥,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,011"
로쏘,"중소기업,외부감사법인,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (제과제빵)                            ,"3,509"
에스엠신용정보,"외부감사법인,주식회사,법인사업체",은행·금융업                                (캐피탈)                            ,"4,160"
천지세무법인,"중소기업,법인사업체",기관·협회                                (세무법인)                            ,"3,427"
엠씨엠,"중소기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,776"
인천관세법인,"중소기업,사단법인,법인사업체",판매·유통                                (운송·운수)                            ,"3,535"
(주)태평양감정평가법인,"중견기업,법인사업체",은행/금융업                                                            ,"5,111"
동양이엔피,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체", ,"5,034"
영진산업,"중소기업,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"3,802"
LS네트웍스,"코스피,대기업, 1000대기업,외부감사법인,주식회사,수출입 기업,법인사업체",판매·유통                                (판매)                            ,"5,215"
기가레인,"코스닥,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,287"
(주)스카우트,"주식회사,법인사업체",기관·협회                                (경영연구소)                            ,"2,979"
(주)에스이에스,"중소기업,주식회사,법인사업체",서비스업                                                            ,"3,611"
풀무원푸드앤컬처,"중견기업,주식회사,법인사업체",서비스업                                (출장요리)                            ,"3,833"
(주)금창,"외부감사법인,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (자동차부품)                            ,"4,977"
보미엔지니어링,"외부감사법인,법인사업체",건설업                                (토목회사)                            ,"4,824"
상아프론테크,"코스닥,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,611"
아이티에스,"외부감사법인,법인사업체",건설업                                (토목회사)                            ,"7,066"
에이치비테크놀러지,"코스닥,법인사업체",제조·화학                                (기계)                            ,"3,171"
(주)잡앤잡,"중소기업,법인사업체",서비스업                                                            ,"2,983"
(주)장원교육,"주식회사,법인사업체",미디어·디자인                                (출판사)                            ,"4,300"
톱텍,"코스닥,중견기업, 1000대기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,454"
선문대학교,"중소기업,학교/교육기관,비영리법인",교육업                                (대학교)                            ,"2,666"
연성정밀화학(주),"중소기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"4,777"
유비벨록스,"코스닥,중소기업,주식회사,외부감사법인,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,717"
케이오,"대기업,법인사업체",판매·유통                                (항공운송)                            ,"4,059"
펌텍코리아,"코스닥,중소기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"3,420"
한국유나이티드제약,"코스피,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,488"
(주)명신,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,866"
원앤원,"중소기업,외부감사법인,법인사업체",제조·화학                                (식품가공)                            ,"3,052"
코오롱생명과학,"코스닥,대기업,외부감사법인,주식회사,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"5,933"
쿠쿠홀딩스,"코스피,중견기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",은행·금융업                                (금융기관)                            ,"7,756"
(주)삼진일렉스,"중소기업,주식회사,법인사업체",건설업                                (전기설비)                            ,"5,583"
시지바이오,"중소기업,주식회사,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"4,714"
대원정밀공업(주),"외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,577"
(주)디비에이컨설팅,"중소기업,법인사업체",서비스업                                                            ,"3,594"
서진캠,"중견기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,943"
엠비씨플레이비,"중견기업,주식회사,법인사업체",서비스업                                (놀이공원)                            ,"3,101"
케이피씨,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,721"
(주)파인스태프,"중소기업,주식회사,법인사업체",서비스업                                (서치펌)                            ,"2,898"
대동산업(주),"외부감사법인,법인사업체",제조·화학                                (요업)                            ,"5,092"
덕일산업,"중소기업,외부감사법인,연구소,주식회사,병역특례 인증업체,수출입 기업,법인사업체", ,"4,740"
무경설비,"중견기업,외부감사법인,주식회사,법인사업체",건설업                                (시설)                            ,"5,251"
중원엔지니어링,"중소기업,법인사업체",건설업                                (냉난방설비)                            ,"5,737"
하나머티리얼즈,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체", ,"6,170"
레이언스,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (정밀광학)                            ,"4,551"
비엠씨,"중견기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,335"
동환산업,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,515"
명화공업,"1000대기업, 중견기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,236"
영남대학교,"기타,학교/교육기관,비영리법인",서비스업                                (시설관리)                            ,"2,616"
충남대학교병원,"기타,공사/공기업,비영리법인",의료·제약·복지                                (종합병원)                            ,"3,837"
야스,"코스닥,중소기업,외부감사법인,법인사업체",제조·화학                                (기계)                            ,"4,487"
(주)엘림비엠에스,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"2,844"
케이지이니시스,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,388"
코넥,"외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,282"
에이오,"대기업,법인사업체",판매·유통                                (항공운송)                            ,"3,819"
네오플,"대기업, 1000대기업,외부감사법인,법인사업체",IT·웹·통신                                (게임개발)                            ,"6,902"
이레테크,"중소기업,주식회사,병역특례 인증업체,법인사업체", ,"3,309"
(주)태안모터스,"중견기업,주식회사,외부감사법인,법인사업체",판매·유통                                (자동차매장)                            ,"4,344"
(주)네오바이오텍,"중소기업,주식회사,법인사업체",판매·유통                                (판매)                            ,"4,124"
대한감정평가법인,"중소기업,외부감사법인,주식회사,법인사업체", ,"5,107"
다인건설,"중견기업,주식회사,법인사업체",건설업                                (건설회사)                            ,"7,340"
에스맥,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,701"
(주)대원산업,"중소기업,외부감사법인,주식회사,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,576"
(주)웨이버스,"중소기업,주식회사,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,528"
케이엠에스,"중소기업,외부감사법인,주식회사,법인사업체", ,"2,821"
(주)한국에스웨이,"중소기업,법인사업체",기관·협회                                (경영연구소)                            ,"3,037"
핸디소프트,"코스닥,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,385"
대신정기화물자동차,"외부감사법인,법인사업체", ,"4,477"
평화오일씰공업,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,179"
프리미어모터스,"중소기업,주식회사,법인사업체",판매·유통                                (자동차매장)                            ,"3,774"
대동전자,"중소기업,주식회사,법인사업체",제조·화학                                (전자)                            ,"2,836"
삼창감정평가법인,"중견기업,외부감사법인,주식회사,법인사업체", ,"5,161"
(주)스와로브스키코리아,"외국 법인기업,주식회사,법인사업체",판매·유통                                (잡화매장)                            ,"3,891"
에프엔씨엔터테인먼트,"코스닥,중소기업,법인사업체",미디어·디자인                                (공연예술)                            ,"4,191"
핑거,"코스닥,중소기업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"5,266"
경북대학교병원,"기타,공사/공기업,비영리법인",의료·제약·복지                                (종합병원)                            ,"3,572"
월드유니텍(주),"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,286"
중원(주),"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전기설계)                            ,"4,705"
금호에이치티,"코스피,중견기업,외부감사법인,주식회사,수출입 기업,법인사업체", ,"4,423"
삼원,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (화학)                            ,"4,366"
샘코,"코스닥,중소기업,외국인 투자기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (항공)                            ,"3,583"
서영엔지니어링,"중견기업,주식회사,법인사업체",건설업                                (토목회사)                            ,"6,177"
영진,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,750"
코데즈컴바인,"코스닥,외부감사법인,주식회사,법인사업체",제조·화학                                (의류·의상)                            ,"3,163"
다쏘시스템코리아(주),"중견기업,외국 법인기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"7,421"
영남대학교의료원,"기타,외부감사법인,병원/의료기관,비영리법인",의료·제약·복지                                (종합병원)                            ,"3,775"
홍익대학교,"기타,사단법인,학교/교육기관,비영리법인",교육업                                (대학교)                            ,"2,822"
아웃백스테이크하우스코리아,법인사업체, ,"2,495"
(주)광명이엔지,"중소기업,법인사업체",서비스업                                (시설관리)                            ,"3,299"
소프트센,"코스닥,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"7,045"
엣지랭크,"중소기업,주식회사,사단법인,법인사업체",미디어·디자인                                (광고대행사)                            ,"3,748"
티에이치엔,"코스피,1000대기업, 중견기업,외부감사법인,수출입 기업,법인사업체", ,"6,308"
유신정밀공업,"1000대기업, 중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,204"
인알파코리아,"중견기업,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,210"
그린파워,"중소기업,외부감사법인,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (전기)                            ,"5,144"
아이텍기술,"중소기업,주식회사,법인사업체",기관·협회                                (연구소)                            ,"4,181"
이라이콤,"코스닥,외부감사법인,주식회사,수출입 기업,법인사업체",판매·유통                                (판매)                            ,"4,251"
동성제약,"코스피,외부감사법인,수출입 기업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"4,099"
디아지오코리아,"1000대기업, 중견기업,외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (식음료)                            ,"7,621"
케이이티솔루션,"중견기업,법인사업체", ,"5,123"
한국과학기술원,"기타,학교/교육기관,비영리법인",교육업                                (대학교)                            ,"3,837"
효성굿스프링스,"대기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (기계)                            ,"6,872"
에스제이더블유인터내셔널,"중소기업,법인사업체",교육업                                (학습지)                            ,"3,912"
우성기업,"중소기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,655"
트리플하이엠,"중소기업,주식회사,법인사업체",미디어·디자인                                (광고대행사)                            ,"4,034"
에스씨지솔루션즈,"대기업,외부감사법인,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"3,822"
엔브이에이치코리아,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,716"
패션그룹형지,"중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (여성의류)                            ,"5,627"
서울에프엔비,"중소기업,주식회사,법인사업체",제조·화학                                (식품가공)                            ,"3,829"
유니크,"중소기업,법인사업체",판매·유통                                (판매)                            ,"3,857"
(주)한국시세이도,"외국인 투자기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (화장품매장)                            ,"4,287"
라온건설,"주식회사,법인사업체",건설업                                (건설회사)                            ,"6,638"
에스씨아이평가정보,"코스닥,외부감사법인,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,264"
한국철도기술연구원,"기타,공사/공기업,비영리법인",기관·협회                                (연구소)                            ,"6,623"
(주)대창,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"4,031"
(주)대호,"중소기업,주식회사,수출입 기업,법인사업체",제조/화학업                                                            ,"5,240"
디에이치테크,"중소기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,041"
엘오티베큠,"코스닥,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,240"
한국경제티브이,"코스닥,중견기업,외부감사법인,법인사업체",미디어·디자인                                (종합유선방송)                            ,"5,977"
태평양물산,"코스피,1000대기업, 중견기업,주식회사,외부감사법인,수출입 기업,법인사업체",제조·화학                                (의류·의상)                            ,"5,959"
삼보컴퓨터,"외부감사법인,주식회사,법인사업체",제조·화학                                (Hardware)                            ,"4,461"
시스원,"외부감사법인,병역특례 인증업체,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"4,675"
(주)우진산전,"중견기업,주식회사,법인사업체",제조·화학                                (자동차)                            ,"5,027"
텐바이텐,"대기업,주식회사,법인사업체",판매·유통                                (문구·팬시)                            ,"3,415"
대웅바이오(주),"중견기업, 1000대기업,외부감사법인,법인사업체",의료·제약·복지                                (의약·제약)                            ,"6,611"
세일즈웍스코리아,"중소기업,외국인 투자기업,유한회사,법인사업체",서비스업                                (시설관리)                            ,"3,540"
아이원스,"코스닥,중소기업,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,355"
한국소니전자,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"6,420"
대현에스티,"중견기업,주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"5,074"
풀무원녹즙,"중견기업,주식회사,법인사업체",제조·화학                                (식품가공)                            ,"6,576"
가온미디어,"코스닥,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"7,402"
해비치호텔앤드리조트,"대기업,외부감사법인,법인사업체", ,"3,868"
리더스코스메틱,"코스닥,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"4,157"
아바코,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"5,156"
엔티에스,"중소기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"4,060"
(주)코코,"중소기업,주식회사,법인사업체",제조·화학                                (도료)                            ,"4,096"
토마토시스템,"코넥스,중소기업,병역특례 인증업체,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"4,367"
가천대학교,"기타,학교/교육기관,비영리법인",교육업                                (대학교)                            ,"2,734"
한일산업,"주식회사,외부감사법인,법인사업체",제조·화학                                (자동차)                            ,"5,150"
한국화학융합시험연구원,"기타,재단법인,비영리법인",기관·협회                                (연구소)                            ,"6,404"
수석,"중견기업,외부감사법인,법인사업체",제조·화학                                (요업)                            ,"5,581"
(주)신일,"외부감사법인,법인사업체",건설업                                (건설회사)                            ,"6,374"
유영산업,"중소기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조·화학                                (섬유)                            ,"4,411"
(주)코람코자산신탁,"대기업,외부감사법인,법인사업체",은행·금융업                                (자산관리)                            ,"6,533"
이촌회계법인,"중소기업,유한회사,법인사업체",기관·협회                                (회계법인)                            ,"5,901"
(주)뉴옵틱스,"중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (디스플레이)                            ,"5,287"
(주)서울랜드,"중견기업,외부감사법인,법인사업체",서비스업                                (놀이공원)                            ,"3,880"
엠아이티,"중소기업,주식회사,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,861"
오르비텍,"코스닥,주식회사,외부감사법인,법인사업체",기관·협회                                (연구소)                            ,"4,921"
케이지모빌리언스,"코스닥,중견기업,외부감사법인,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,895"
고진모터스,"중견기업,외부감사법인,법인사업체",판매·유통                                (자동차매장)                            ,"5,229"
덕우전자,"코스닥,중소기업,법인사업체",제조·화학                                (전자)                            ,"5,422"
성지산업,"중견기업,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"5,228"
세림티에스지(주),"중소기업,주식회사,법인사업체",IT·웹·통신                                (IT컨설팅)                            ,"4,589"
에스피반도체통신,"주식회사,외부감사법인,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (반도체)                            ,"4,015"
글로텍,"중소기업,법인사업체",판매·유통                                (물류업)                            ,"4,748"
두원,"중견기업,외부감사법인,수출입 기업,법인사업체",판매·유통                                (자동차매장)                            ,"5,116"
에이팩,"중견기업,외부감사법인,법인사업체", ,"4,978"
영우디에스피,"코스닥,중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"4,831"
유니온,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (전자)                            ,"3,687"
롯데렌탈,"코스피,대기업,외부감사법인,법인사업체", ,"5,035"
아마노코리아,"중견기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",서비스업                                (주차관제)                            ,"3,676"
한국건설생활환경시험연구원,"기타,재단법인,비영리법인",기관·협회                                (연구소)                            ,"5,621"
(주)뉴스1,"중소기업,주식회사,법인사업체",IT·웹·통신                                (인터넷뉴스·신문)                            ,"4,841"
대성하이테크,"중소기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"4,107"
더파티,"중소기업,주식회사,법인사업체",기관·협회                                (경영연구소)                            ,"4,386"
동성엔지니어링,"중소기업,주식회사,법인사업체",건설업                                (토목회사)                            ,"6,128"
동신모텍,"중소기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,149"
(주)드림이엔지,"중소기업,법인사업체",건설업                                (토목회사)                            ,"5,069"
아이뱅크,"중소기업,주식회사,병역특례 인증업체,수출입 기업,법인사업체",IT·웹·통신                                (소프트웨어개발)                            ,"3,744"
(주)아이에프씨그룹,"중소기업,법인사업체",은행·금융업                                (보험사)                            ,"3,393"
유바이오로직스,"코스닥,중소기업, 스타트업,법인사업체",의료·제약·복지                                (의약·제약)                            ,"4,004"
창신,"중소기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"3,625"
아이아(주),"중견기업,외부감사법인,법인사업체",제조·화학                                (자동차부품)                            ,"6,978"
케이에스피앤(주),"중소기업,법인사업체",서비스업                                (보안·경비업체)                            ,"2,954"
