회사 이름,기업 형태,산업(업종),평균 연봉
(주)에스텍플러스,"중견기업,법인사업체",서비스업                                                            ,"3,143"
에이치에스애드,"대기업,외부감사법인,수출입 기업,법인사업체",미디어·디자인                                (광고대행사)                            ,"6,738"
에이티세미콘,"코스닥,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (회로설계)                            ,"4,653"
에프에이모스트,"중소기업,주식회사,법인사업체", ,"2,680"
엘엑스하우시스,"코스피,대기업, 1000대기업,주식회사,법인사업체",제조·화학                                (프라스틱제조)                            ,"7,406"
영진에셋,"중소기업,사단법인,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"3,507"
(주)오리온,"외국인 투자기업,외부감사법인,주식회사,수출입 기업,법인사업체",제조/화학업                                                            ,"4,859"
온셀텍,"중소기업,주식회사,법인사업체",제조·화학                                (디스플레이)                            ,"4,001"
(주)와이비엠,"중견기업,외부감사법인,수출입 기업,법인사업체",미디어·디자인                                (출판사)                            ,"4,346"
와이솔,"코스닥,중견기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (전자)                            ,"5,020"
우리은행,"코스피,대기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"9,500"
웅진씽크빅,"코스피,외부감사법인,법인사업체",미디어·디자인                                (출판사)                            ,"4,253"
(주)원더플레이스,"중견기업,외부감사법인,주식회사,법인사업체",판매·유통                                (의류매장)                            ,"3,406"
(주)원봉,"외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"3,812"
(주)위메프,"중견기업, 1000대기업,주식회사,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"4,558"
윈윈파트너스,"중소기업,주식회사,법인사업체", ,"4,522"
윈피앤에스,"중견기업,주식회사,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"3,186"
윌앤비전,"대기업,법인사업체", ,"2,888"
(주)유니에스,"중견기업,외부감사법인,법인사업체",서비스업                                                            ,"3,118"
유라코퍼레이션,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"6,373"
유베이스,"중견기업,외부감사법인,법인사업체",서비스업                                (아웃소싱)                            ,"2,875"
(주)유세스파트너스,"중소기업,주식회사,법인사업체",서비스업                                (아웃소싱)                            ,"3,124"
이니스프리,"대기업, 1000대기업,주식회사,법인사업체",판매·유통                                (화장품매장)                            ,"6,558"
이도,"중소기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"4,124"
이랜드월드,"대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (의류·의상)                            ,"3,737"
(주)이브릿지,"중소기업,법인사업체",미디어·디자인                                (광고대행사)                            ,"3,526"
인터플렉스,"코스닥,대기업, 1000대기업,외부감사법인,법인사업체",제조·화학                                (회로설계)                            ,"4,322"
(주)재능교육,"중견기업, 1000대기업,외부감사법인,주식회사,법인사업체",미디어·디자인                                (출판사)                            ,"4,304"
(주)제이에스테크,"중소기업,주식회사,외부감사법인,법인사업체",제조·화학                                (자동차부품)                            ,"3,859"
제이에이에스,"중견기업,외부감사법인,주식회사,법인사업체",판매·유통                                (항공운송)                            ,"3,222"
카페베네,"중견기업,외국인 투자기업,외부감사법인,주식회사,법인사업체",제조·화학                                (식음료)                            ,"4,125"
캡스텍,"외부감사법인,주식회사,법인사업체",서비스업                                (보안·경비업체)                            ,"3,391"
커피빈코리아,"중견기업,외국인 투자기업,외부감사법인,법인사업체", ,"2,301"
케이비손해보험,"대기업,외부감사법인,금융기관,법인사업체",은행·금융업                                (손해사정)                            ,"6,739"
(주)케이알이엠에스,"중소기업,주식회사,병역특례 인증업체,법인사업체",제조·화학                                (전자)                            ,"4,264"
케이티아이에스,"코스피,대기업, 1000대기업,주식회사,외부감사법인,법인사업체",IT·웹·통신                                (종합포털)                            ,"3,041"
케이티엠앤에스,"대기업, 1000대기업,주식회사,법인사업체",판매·유통                                (IT·통신기기판매)                            ,"4,023"
타워피엠씨,"중소기업,주식회사,법인사업체",건설업                                (부동산중개)                            ,"3,581"
탐앤탐스,"중견기업,외부감사법인,수출입 기업,법인사업체", ,"2,996"
탑엔지니어링,"중소기업,외부감사법인,법인사업체",건설업                                (통신설비)                            ,"4,533"
(주)태웅,"중소기업,주식회사,법인사업체",건설업                                (부동산중개)                            ,"3,767"
토니모리,"코스피,1000대기업, 중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (도료)                            ,"4,930"
트랜스코스모스코리아,"중견기업,주식회사,법인사업체",서비스업                                (아웃소싱)                            ,"2,897"
티몬,"주식회사,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"4,658"
에코비트워터,"중견기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"4,345"
파리크라상,"중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (제과제빵)                            ,"4,712"
평화발레오,"대기업, 1000대기업,외국인 투자기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"7,525"
포스코건설,"대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",건설업                                (토목회사)                            ,"6,947"
포스코아이씨티,"코스닥,대기업, 1000대기업,법인사업체",건설업                                (시공사)                            ,"8,662"
프로에스콤,"중견기업,외부감사법인,주식회사,법인사업체",서비스업                                (보안·경비업체)                            ,"3,409"
(주)프리죤,"중소기업,법인사업체",서비스업                                                            ,"3,239"
하나은행,"대기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"9,663"
한국스탠다드차타드은행,"대기업, 1000대기업,외국인 투자기업,외부감사법인,금융기관,법인사업체",은행·금융업                                (금융기관)                            ,"9,631"
한국씨티은행,"대기업,외부감사법인,법인사업체",은행·금융업                                (금융기관)                            ,"11,249"
한국코퍼레이션,"코스닥,외부감사법인,법인사업체",서비스업                                (시설관리)                            ,"1,971"
한성엠에스,"중소기업,법인사업체", ,"3,113"
한진중공업,"코스피,대기업, 1000대기업,외부감사법인,주식회사,병역특례 인증업체,수출입 기업,법인사업체",건설업                                (토목회사)                            ,"6,678"
현대그린푸드,"코스피,대기업, 1000대기업,주식회사,법인사업체",판매·유통                                (백화점)                            ,"3,573"
현대홈쇼핑,"코스피,대기업, 1000대기업,외부감사법인,법인사업체",IT·웹·통신                                (쇼핑몰)                            ,"5,814"
호텔롯데,"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체", ,"6,164"
휴먼티에스에스,"대기업,외부감사법인,법인사업체",서비스업                                (보안·경비업체)                            ,"4,651"
경창산업,"코스닥,중견기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (자동차부품)                            ,"5,346"
고려휴먼스(주),"중소기업,법인사업체",서비스업                                                            ,"2,990"
광전자,"코스피,중견기업, 1000대기업,외부감사법인,수출입 기업,법인사업체", ,"3,565"
나이스엔지니어링(주),"중소기업,법인사업체",서비스업                                (A·S센터)                            ,"4,642"
넷마블,"중견기업, 1000대기업,주식회사,법인사업체",IT·웹·통신                                (게임개발)                            ,"7,354"
농협생명보험,"대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (생명보험)                            ,"6,970"
농협손해보험,"대기업,금융기관,주식회사,법인사업체",은행·금융업                                (손해사정)                            ,"6,885"
농협은행,"대기업, 1000대기업,주식회사,법인사업체",은행·금융업                                (금융기관)                            ,"6,765"
대보건설,"중견기업, 1000대기업,외부감사법인,법인사업체",건설업                                (토목회사)                            ,"6,768"
대아이앤씨,"중견기업,주식회사,외부감사법인,법인사업체",건설업                                (플랜트)                            ,"5,850"
대원산업,"외부감사법인,수출입 기업,법인사업체",제조·화학                                (프라스틱제조)                            ,"5,443"
도이치모터스,"코스닥,중견기업,주식회사,법인사업체",판매·유통                                (자동차매장)                            ,"3,920"
두산중공업,"코스피,대기업, 1000대기업,외부감사법인,수출입 기업,법인사업체",제조·화학                                (기계)                            ,"6,170"
라이나생명보험(주),"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",은행·금융업                                (생명보험)                            ,"6,721"
라인플러스,"대기업, 1000대기업,주식회사,법인사업체",IT·웹·통신                                (종합포털)                            ,"6,963"
롯데건설,"대기업, 1000대기업,외국인 투자기업,외부감사법인,법인사업체",건설업                                (건설회사)                            ,"7,400"
롯데제과,"코스피,대기업, 1000대기업,법인사업체",제조·화학                                (제과제빵)                            ,"5,390"
롯데칠성음료,"코스피,대기업, 1000대기업,주식회사,사단법인,법인사업체",제조·화학                                (식음료)                            ,"5,404"
롯데카드,"대기업, 1000대기업,외부감사법인,법인사업체",은행·금융업                                (신용카드사)                            ,"5,959"
메가,"대기업,주식회사,법인사업체",은행·금융업                                (보험사)                            ,"3,029"
메리츠화재해상보험,"코스피,대기업, 1000대기업,법인사업체",은행·금융업                                (손해사정)                            ,"8,673"
미성엠프로(주),"중견기업,주식회사,법인사업체",서비스업                                (시설관리)                            ,"3,379"
